persnum1,tcinpsty
0886,001600
0886,005400
0886,001600
0886,003500
0886,002700
0886,002100
0886,037700
0886,004300
0886,006600
0887,003700
0887,008100
0889,004300
0889,007700
0890,006000
0890,006900
0891,006400
0891,011200
0892,004100
0892,006700
0892,003300
0892,021000
0892,006600
0893,010800
0893,063000
0896,002800
0896,007300
0896, 
0896,007600
0896,001800
0896,002400
0896,009400
0904,004300
0904,003900
0904,005000
0904,002100
0904,002700
0904,002400
0908,002000
0908,002000
0908,004300
0908,008100
0908,013500
0908,007600
0909,010600
0910,004700
0911, 
0911,003200
0911,008600
0912,002900
0912,002300
0915,018900
0918,002400
0919,015200
0920,006400
0920,002100
0920,005100
0920,008900
0920,001100
0920,004100
0921,007100
0921,026600
0921,028600
0921,002900
0921,002400
0921,004100
0923,006300
0923,022100
0923,013700
0925,006700
0925,009100
0925,012400
0925,007400
0928,003100
0928,005600
0934,001900
0935,002400
0935,002400
0935,011400
0935,002400
0935,005100
0935,003900
0935,005400
0935,004500
0935,008600
0935,015600
0938,005800
0938,021700
0939,002400
0939,004000
0939,001000
0939,005700
0940,004200
0943,001100
0943,003700
0943,007000
0943,038900
0945,002900
0945,061800
0947,006300
0947,001600
0947,006100
0949,007200
0950,002100
0950,002000
0950,009900
0950,008200
0954,001700
0954,030200
0956,002800
0956,001700
0956,000600
0957,002000
0958,004300
0958,012600
0958,004400
0958,006100
0959,009300
0961,004400
0961,001200
0961,007000
0961,004400
0961,005100
0961,002800
0961,002700
0961,003600
0964,004200
0964,006000
0965,005500
0966,018700
0966,012500
0966,006800
0966,003700
0966,030100
0966,019300
0967,010400
0970,002300
0970,001700
0972,009700
0974,009300
0974,001200
0974,002700
0974,003800
0974,002100
0975,005300
0975,005300
0975,004100
0975,003800
0975,006000
0976,006900
0976,006400
0976,011400
0977,009500
0977,008900
0978,003400
0979,003900
0979,002700
0980,005500
0981,003100
0982,008900
0984,001800
0985,001900
0985,003500
0985,005600
0985,002100
0985,006900
0988,004200
0988,022300
0988,014700
0988,006200
0988,005600
0988,005000
0988,007700
0988,012300
0988,005100
0988,004000
0988,003500
0989,002300
0989,005800
0989,002600
0989,004000
0989,006400
0991,002700
0991,004500
0991,004600
0991,009100
0991,004500
0992,001800
0992,001600
0992,006300
0992,005100
0993,001600
0993,001500
0994,010400
0994,005000
0995,002500
0995,001100
0995,001300
0995,000700
0999, 
1000,002300
1000,006400
